#q2 x cv sd
144.91 0.00562341 0.968623 0.0490435
144.91 0.00582103 0.956378 0.0503729
144.914 0.0060256 0.944257 0.0536648
144.91 0.00623735 0.93226 0.0557969
144.91 0.00645654 0.920384 0.0484539
144.91 0.00668344 0.908629 0.046934
144.91 0.00691831 0.896995 0.0585457
144.91 0.00716143 0.88548 0.0562852
144.914 0.0074131 0.874085 0.0437385
144.91 0.00767361 0.862809 0.0454654
144.91 0.00794328 0.85165 0.0455285
144.91 0.00822243 0.840609 0.0579973
144.91 0.00851138 0.829686 0.0494803
144.91 0.00881049 0.818878 0.0556531
144.91 0.00912011 0.808187 0.0511274
144.91 0.00944061 0.797611 0.0435574
144.91 0.00977237 0.787143 0.0497704
144.914 0.0101158 0.776786 0.0501221
144.914 0.0104713 0.766548 0.0392384
144.914 0.0108393 0.756428 0.0477247
144.914 0.0112202 0.746424 0.0464724
144.914 0.0116145 0.736534 0.0478381
144.914 0.0120226 0.726758 0.0382461
144.914 0.0124451 0.717098 0.0399911
144.914 0.0128825 0.707548 0.0404805
144.914 0.0133352 0.698104 0.0484624
144.914 0.0138038 0.688764 0.046588
144.914 0.0142889 0.679526 0.0462702
144.914 0.0147911 0.670389 0.0415553
144.914 0.0153109 0.661355 0.0417538
144.914 0.0158489 0.652429 0.0403209
144.914 0.0164059 0.643603 0.0419756
144.914 0.0169824 0.634872 0.0374967
144.914 0.0175792 0.626235 0.0403746
144.914 0.018197 0.617693 0.0322067
144.914 0.0188365 0.609246 0.0384392
144.914 0.0194984 0.600894 0.0358271
144.914 0.0201837 0.592616 0.0380064
144.914 0.020893 0.58444 0.0394849
144.914 0.0216272 0.57637 0.0386489
144.914 0.0223872 0.568404 0.0335753
144.914 0.0231739 0.560539 0.0334212
144.914 0.0239883 0.552774 0.0361082
144.914 0.0248313 0.545113 0.036419
144.914 0.025704 0.537563 0.0290074
144.914 0.0266073 0.530094 0.0272913
144.914 0.0275423 0.522708 0.0304519
144.914 0.0285102 0.515403 0.0310794
144.914 0.0295121 0.508181 0.031756
144.914 0.0305492 0.501042 0.0270498
144.914 0.0316228 0.493983 0.0295995
144.914 0.0327341 0.487008 0.0277879
144.914 0.0338844 0.480119 0.0331094
144.914 0.0350752 0.473314 0.0262786
144.914 0.0363078 0.466595 0.0305405
144.914 0.0375837 0.459961 0.0273917
144.914 0.0389045 0.453419 0.0276045
144.914 0.0402717 0.446962 0.0302954
144.914 0.0416869 0.440586 0.0292641
144.914 0.0431519 0.434292 0.0278393
144.914 0.0446684 0.428081 0.0228897
144.914 0.0462381 0.421955 0.0251539
144.914 0.047863 0.415902 0.0286012
144.914 0.049545 0.409938 0.0260048
144.914 0.0512861 0.404069 0.0237446
144.914 0.0530884 0.398296 0.0224716
144.914 0.0549541 0.392617 0.0228363
144.914 0.0568853 0.387032 0.0254314
144.914 0.0588844 0.381521 0.0264067
144.914 0.0609537 0.376112 0.0262247
144.914 0.0630957 0.370803 0.0187193
144.914 0.0653131 0.365589 0.018929
144.914 0.0676083 0.360468 0.0197191
144.914 0.0699842 0.355434 0.0238126
144.914 0.0724436 0.350485 0.0230777
144.914 0.0749894 0.345621 0.0193187
144.914 0.0776247 0.340838 0.0183453
144.914 0.0803526 0.336131 0.0188653
144.914 0.0831764 0.331484 0.0200627
144.914 0.0860994 0.326896 0.0211503
144.914 0.0891251 0.322391 0.0223567
144.914 0.0922571 0.317959 0.0162915
144.914 0.0954993 0.31359 0.0209016
144.914 0.0988553 0.309273 0.019394
144.914 0.102329 0.304999 0.0180936
144.914 0.105925 0.300763 0.0160043
144.914 0.109648 0.296554 0.019571
144.914 0.113501 0.292362 0.0150759
144.914 0.11749 0.288183 0.0186563
144.914 0.121619 0.283993 0.0149307
144.914 0.125893 0.279783 0.0182219
144.914 0.130317 0.275543 0.0147589
144.914 0.134896 0.271272 0.0160857
144.914 0.139637 0.26695 0.0167054
144.914 0.144544 0.262567 0.0144288
144.914 0.149624 0.258114 0.0177132
144.914 0.154882 0.253595 0.0169521
144.914 0.160325 0.248992 0.0125511
144.914 0.165959 0.244295 0.0156077
144.914 0.171791 0.239501 0.01412
144.914 0.177828 0.234615 0.01294
144.914 0.184077 0.229622 0.0125906
144.914 0.190546 0.224518 0.0141574
144.914 0.197242 0.219306 0.0127356
144.914 0.204174 0.213986 0.0138169
144.914 0.211349 0.20856 0.0107102
144.914 0.218776 0.203029 0.0119318
144.914 0.226464 0.197398 0.0121682
144.914 0.234423 0.191661 0.0111669
144.914 0.242661 0.185824 0.0104047
144.914 0.251189 0.179888 0.0102241
144.914 0.260016 0.173858 0.0106782
144.914 0.269153 0.167736 0.00943163
144.914 0.278612 0.161528 0.0100075
144.914 0.288403 0.155233 0.00961168
144.914 0.298538 0.148857 0.00815012
144.914 0.30903 0.14241 0.00939088
144.914 0.31989 0.135888 0.00901984
144.914 0.331131 0.129304 0.00695518
144.914 0.342768 0.122666 0.00642739
144.914 0.354813 0.115983 0.00774506
144.914 0.367282 0.109273 0.00557346
144.914 0.380189 0.102543 0.0052845
144.914 0.39355 0.0958154 0.00485905
144.914 0.40738 0.0890988 0.00623214
144.914 0.421697 0.0824168 0.00534462
144.914 0.436516 0.0757938 0.00437946
144.914 0.451856 0.0692582 0.00429794
144.914 0.467735 0.0628404 0.00316137
144.914 0.484172 0.0565743 0.00298728
144.914 0.501187 0.050495 0.00295826
144.914 0.5188 0.0446385 0.00230122
144.914 0.537032 0.0390558 0.00222786
144.914 0.555904 0.033782 0.00176719
144.914 0.57544 0.0288845 0.00194661
144.914 0.595662 0.0243865 0.00143272
144.914 0.616595 0.0202865 0.00107024
144.914 0.638263 0.016603 0.00116158
144.914 0.660693 0.0133444 0.000812551
144.914 0.683912 0.0105281 0.000669496
144.914 0.707946 0.00814193 0.000511183
144.914 0.732825 0.00616472 0.000392547
144.914 0.758578 0.00454421 0.000227804
144.914 0.785236 0.00323873 0.000181979
144.914 0.812831 0.00220998 0.000138812
144.914 0.841395 0.00141619 9.87227e-05
144.914 0.870964 0.000826408 4.82017e-05
144.914 0.901571 0.00042053 2.81998e-05
144.914 0.933254 0.000171242 1.1193e-05
144.914 0.966051 4.43548e-05 2.59407e-06
932.461 0.001 2.38668 0.157416
932.46 0.00103514 2.35644 0.159354
932.46 0.00107152 2.32649 0.149854
932.46 0.00110917 2.29684 0.125872
932.46 0.00114815 2.26748 0.1253
932.461 0.0011885 2.23841 0.151342
932.46 0.00123027 2.20963 0.139088
932.461 0.0012735 2.18114 0.133481
932.46 0.00131826 2.15291 0.135969
932.46 0.00136458 2.12498 0.13133
932.46 0.00141254 2.09734 0.115139
932.46 0.00146218 2.07 0.134919
932.46 0.00151356 2.04295 0.114203
932.46 0.00156675 2.01619 0.121964
932.46 0.00162181 1.98971 0.109791
932.461 0.0016788 1.96353 0.113061
932.461 0.0017378 1.93763 0.115137
932.46 0.00179887 1.912 0.10705
932.46 0.00186209 1.88663 0.0996663
932.46 0.00192752 1.86152 0.121886
932.46 0.00199526 1.83667 0.0944425
932.46 0.00206538 1.81208 0.110569
932.46 0.00213796 1.78775 0.122852
932.46 0.00221309 1.76366 0.090241
932.46 0.00229087 1.73982 0.10416
932.46 0.00237137 1.71625 0.0977128
